"Nama","Kelas","NISN","Email","Agama","Alamat","No. HP Wali"
"","","","","Islam, Kristen, Katolik, Hindu, Buddha, Konghucu","",""
"Wajib","Wajib","Wajib","Wajib","Opsional","Opsional","Opsional"
"Budi Santoso","X IPA 1","1000000001","siswa001@sekolah.id","","",""
"Siswa 002","X IPA 2","1000000002","siswa002@sekolah.id","","",""
"Siswa 003","X IPA 3","1000000003","siswa003@sekolah.id","","",""
"Siswa 004","XI IPA 1","1000000004","siswa004@sekolah.id","","",""
"Siswa 005","XI IPA 2","1000000005","siswa005@sekolah.id","","",""
"Siswa 006","XI IPA 3","1000000006","siswa006@sekolah.id","","",""
"Siswa 007","XII IPA 1","1000000007","siswa007@sekolah.id","","",""
"Siswa 008","XII IPA 2","1000000008","siswa008@sekolah.id","","",""
"Siswa 009","XII IPA 3","1000000009","siswa009@sekolah.id","","",""
"Siswa 010","X IPA 1","1000000010","siswa010@sekolah.id","","",""
"Siswa 011","X IPA 2","1000000011","siswa011@sekolah.id","","",""
"Siswa 012","X IPA 3","1000000012","siswa012@sekolah.id","","",""
"Siswa 013","XI IPA 1","1000000013","siswa013@sekolah.id","","",""
"Siswa 014","XI IPA 2","1000000014","siswa014@sekolah.id","","",""
"Siswa 015","XI IPA 3","1000000015","siswa015@sekolah.id","","",""
"Siswa 016","XII IPA 1","1000000016","siswa016@sekolah.id","","",""
"Siswa 017","XII IPA 2","1000000017","siswa017@sekolah.id","","",""
"Siswa 018","XII IPA 3","1000000018","siswa018@sekolah.id","","",""
"Siswa 019","X IPA 1","1000000019","siswa019@sekolah.id","","",""
"Siswa 020","X IPA 2","1000000020","siswa020@sekolah.id","","",""
"Siswa 021","X IPA 3","1000000021","siswa021@sekolah.id","","",""
"Siswa 022","XI IPA 1","1000000022","siswa022@sekolah.id","","",""
"Siswa 023","XI IPA 2","1000000023","siswa023@sekolah.id","","",""
"Siswa 024","XI IPA 3","1000000024","siswa024@sekolah.id","","",""
"Siswa 025","XII IPA 1","1000000025","siswa025@sekolah.id","","",""
