id,tenant_id,email,name,role,status
682779c7-6952-530c-ae3f-61286bd5e66d,ba6e3b18-bccb-5149-adae-530286c8bd10,galuh-mardhiyah@demo.school,Galuh Mardhiyah,ADMIN_STAFF,ACTIVE
e3423ca1-38bb-5579-9475-eb0a9ec54187,ba6e3b18-bccb-5149-adae-530286c8bd10,ir-satya-jailani@demo.school,Ir. Satya Jailani,PRINCIPAL,ACTIVE
b332869f-ef26-54d2-9f02-37b5392d507e,ba6e3b18-bccb-5149-adae-530286c8bd10,umar-rahimah@demo.school,Umar Rahimah,TEACHER,ACTIVE
b1a94b16-09c4-5eb4-9b6c-0e1c47826581,ba6e3b18-bccb-5149-adae-530286c8bd10,puti-carla-suwarno@demo.school,Puti Carla Suwarno,TEACHER,ACTIVE
550fd960-bd93-57e7-9be9-79dd48a95c07,ba6e3b18-bccb-5149-adae-530286c8bd10,dr-panca-mulyani-spt@demo.school,"dr. Panca Mulyani, S.Pt",TEACHER,ACTIVE
1376c92a-2485-5391-88d6-0d86d24d957f,ba6e3b18-bccb-5149-adae-530286c8bd10,dr-karimah-hariyah-sfarm@demo.school,"dr. Karimah Hariyah, S.Farm",TEACHER,ACTIVE
e8baead1-8fc2-501c-8c2f-d5bc67cf41d8,ba6e3b18-bccb-5149-adae-530286c8bd10,paramita-rajata@demo.school,Paramita Rajata,TEACHER,ACTIVE
c16b9270-d71a-5fd8-bcfe-c6c8400fd2c8,ba6e3b18-bccb-5149-adae-530286c8bd10,putri-winarsih-sip@demo.school,"Putri Winarsih, S.IP",TEACHER,ACTIVE
1d007c47-798f-595b-9570-0daeec303a7a,ba6e3b18-bccb-5149-adae-530286c8bd10,dr-mulyono-samosir@demo.school,dr. Mulyono Samosir,TEACHER,ACTIVE
31458943-6a88-5423-b8d4-83b941c52a2e,ba6e3b18-bccb-5149-adae-530286c8bd10,cakrawala-yolanda@demo.school,Cakrawala Yolanda,TEACHER,ACTIVE
f51b2c15-01c3-518f-8e3e-167910a58ed8,ba6e3b18-bccb-5149-adae-530286c8bd10,ir-umaya-firmansyah@demo.school,Ir. Umaya Firmansyah,TEACHER,ACTIVE
7c123770-50ab-5e19-aa89-f24b28c20f11,ba6e3b18-bccb-5149-adae-530286c8bd10,martaka-santoso@demo.school,Martaka Santoso,TEACHER,ACTIVE
314f7377-8778-5fca-b792-7cf8389d1180,ba6e3b18-bccb-5149-adae-530286c8bd10,drs-zalindra-hutasoit@demo.school,Drs. Zalindra Hutasoit,TEACHER,ACTIVE
15eb88a7-606e-5583-a056-e8d16faf45b2,ba6e3b18-bccb-5149-adae-530286c8bd10,lamar-permata-mkom@demo.school,"Lamar Permata, M.Kom.",TEACHER,ACTIVE
4b7ccf9d-a6cd-5941-80ba-bef3c08e740e,ba6e3b18-bccb-5149-adae-530286c8bd10,salsabila-manullang@demo.school,Salsabila Manullang,TEACHER,ACTIVE
caa2d13b-8c60-5c57-b162-ca7187ebef00,ba6e3b18-bccb-5149-adae-530286c8bd10,yusuf-kurniawan@demo.school,Yusuf Kurniawan,TEACHER,ACTIVE
da30dc61-58ce-54fe-966c-f657561e55a1,ba6e3b18-bccb-5149-adae-530286c8bd10,gadang-hartati-spsi@demo.school,"Gadang Hartati, S.Psi",TEACHER,ACTIVE
572a9a35-efe1-5d47-99c6-ea275fc46c86,ba6e3b18-bccb-5149-adae-530286c8bd10,sarah-sirait@demo.school,Sarah Sirait,TEACHER,ACTIVE
