id,tenant_id,user_id,nis,nisn,gender,date_of_birth,phone_number
c202511b-f03a-5424-b9fb-f82bdc128c5e,ba6e3b18-bccb-5149-adae-530286c8bd10,29be0f63-1d54-5d03-9633-c212605cebcf,20261000,1000000000,FEMALE,2011-10-22T00:00:00,+62-0256-885-5765
5fb3c277-867f-5ca3-a72f-861b01da4e49,ba6e3b18-bccb-5149-adae-530286c8bd10,37f107c0-575b-5356-afb6-ecc832154ca0,20261001,1000000001,MALE,2007-05-10T00:00:00,+62-0556-963-2792
990377e3-3c2a-5280-ad05-44ef002c7dde,ba6e3b18-bccb-5149-adae-530286c8bd10,5f2a973f-606a-59e0-b6db-d3a590baf39a,20261002,1000000002,MALE,2008-03-13T00:00:00,+62 (054) 742-8435
8c877e42-9615-59c6-b2ef-cf2544678f06,ba6e3b18-bccb-5149-adae-530286c8bd10,35c66294-1048-5bf3-bdb7-2c5b2a863e7f,20261003,1000000003,FEMALE,2011-11-01T00:00:00,+62 (0497) 660 8565
4bdaa8bb-51d0-5a9c-b17e-7c9b414310b1,ba6e3b18-bccb-5149-adae-530286c8bd10,f5645671-e674-575a-a85c-95a3136f2b92,20261004,1000000004,MALE,2011-08-14T00:00:00,0883655062
ea96231e-9eea-54a5-8d96-898ef6bebaf4,ba6e3b18-bccb-5149-adae-530286c8bd10,6542820e-af57-59ec-b3d4-2cdd705dceab,20261005,1000000005,FEMALE,2012-09-06T00:00:00,+62 (0259) 967 7500
9147d68b-ed1c-50d6-a3fb-56a776a804e3,ba6e3b18-bccb-5149-adae-530286c8bd10,3857881c-970f-5019-86dc-992f60b397c7,20261006,1000000006,MALE,2006-03-11T00:00:00,+62 (037) 849 5183
f88732c0-9c22-570a-b30b-6df411acfe41,ba6e3b18-bccb-5149-adae-530286c8bd10,02bf16d7-44e1-5487-a5b4-a3fb3a842cf0,20261007,1000000007,MALE,2007-01-04T00:00:00,+62 (53) 739 2419
a0ecb586-a100-527d-ab48-16be69707614,ba6e3b18-bccb-5149-adae-530286c8bd10,278b0ab6-2aa7-506f-99fc-3637d5dc0b8d,20261008,1000000008,MALE,2011-11-25T00:00:00,0821046028
de4b9225-7932-5141-b24f-8e0c8003abec,ba6e3b18-bccb-5149-adae-530286c8bd10,4f07149a-e14c-5032-86b4-317bad1efcd1,20261009,1000000009,FEMALE,2008-02-12T00:00:00,+62 (555) 974 7540
e12dfb0c-5669-5dd2-8c5d-572fbd8baeb1,ba6e3b18-bccb-5149-adae-530286c8bd10,d89d1dd6-70c6-5782-9da8-01209576ca09,20261010,1000000010,FEMALE,2010-03-20T00:00:00,(0547) 354-8643
5ab5f894-fb80-5d67-a324-01dc43f6cf9a,ba6e3b18-bccb-5149-adae-530286c8bd10,ac1f9a80-ae74-5442-ad80-ffe87c538f79,20261011,1000000011,MALE,2007-02-11T00:00:00,+62 (088) 479 1889
9b4ac7d7-1456-5522-8bdc-ae934518af2c,ba6e3b18-bccb-5149-adae-530286c8bd10,67ea680b-f432-5484-a044-001b619ee3ed,20261012,1000000012,MALE,2012-12-03T00:00:00,+62 (521) 824 8861
a1a72d17-7dd5-5f8c-9e57-a1be631e1902,ba6e3b18-bccb-5149-adae-530286c8bd10,de398c97-e916-53b8-900a-d83d71a2756a,20261013,1000000013,FEMALE,2010-05-21T00:00:00,+62-0368-828-3472
fd10641d-6d0c-55a4-aaa4-e269de7dde30,ba6e3b18-bccb-5149-adae-530286c8bd10,45aa8986-499b-5d8d-85c4-0234e9db58df,20261014,1000000014,FEMALE,2009-08-04T00:00:00,+62 (689) 832-9822
847c7de2-42c1-5a55-b0af-b87793843a1f,ba6e3b18-bccb-5149-adae-530286c8bd10,cea557b3-c7fd-52e7-937b-c3f2aa0f0f17,20261015,1000000015,MALE,2007-06-22T00:00:00,+62-004-422-4852
a929d08c-6197-501f-99f7-e85ccdeb018f,ba6e3b18-bccb-5149-adae-530286c8bd10,422c0c8f-68dd-50cb-a8cc-ba3d2d1d2a91,20261016,1000000016,MALE,2010-06-03T00:00:00,+62-022-697-8043
d84614dc-bb80-57aa-a932-4e490060bf20,ba6e3b18-bccb-5149-adae-530286c8bd10,eff8884f-4346-50b2-8f2d-638db0f2ce92,20261017,1000000017,FEMALE,2006-08-25T00:00:00,+62 (076) 252 8070
96b40cb3-fec5-5a96-bbb6-6f413caca70d,ba6e3b18-bccb-5149-adae-530286c8bd10,4e4124ff-3a94-5617-b59f-5c4243f91e67,20261018,1000000018,FEMALE,2012-11-08T00:00:00,+62 (0502) 831 6632
24b981a6-e600-5f6f-afcd-48865a140a74,ba6e3b18-bccb-5149-adae-530286c8bd10,63002951-5cc3-53b3-b192-79257d25205d,20261019,1000000019,FEMALE,2009-09-18T00:00:00,(0352) 866-7534
9aaec393-7fc1-59ad-860d-9eecf6ce5c56,ba6e3b18-bccb-5149-adae-530286c8bd10,1e3a343b-f8fb-5afc-8ff2-704adaeeb75c,20261020,1000000020,FEMALE,2011-11-28T00:00:00,(0133) 115-9212
86393fef-00fe-5537-81c2-561f908ac3f2,ba6e3b18-bccb-5149-adae-530286c8bd10,bb3dc146-2ee0-5020-8a86-344c99c8d25b,20261021,1000000021,MALE,2008-03-07T00:00:00,+62-608-244-5607
0c55195b-5177-5776-a92b-e6ea57a74b82,ba6e3b18-bccb-5149-adae-530286c8bd10,90cb10fc-802b-5739-807d-02d1926bb91d,20261022,1000000022,MALE,2007-12-12T00:00:00,+62 (721) 283-5769
